aircraftType_iataMain;aircraftType_iataSub;route;codeshares;flightStates;eu;visa;flightDirection;flightName;flightNumber;gate;pier;id;isOperationalFlight;mainFlight;prefixIATA;prefixICAO;airlineCode;aircraftRegistration;serviceType;terminal;estimatedLandingTime;lastUpdatedAt;actualLandingTime;scheduleDateTime;actualOffBlockTime;expectedTimeBoarding;expectedTimeGateClosing;expectedTimeGateOpen;expectedTimeOnBelt;expectedSecurityFilter;publicEstimatedOffBlockTime
EMJ;295;FLR;codeshares;DEP;S;False;D;DL9376;9376;B8;B;143576110761938055;True;KL1653;DL;DAL;58;PHNXX;J;1.0;;2025-11-05 09:19:01.736000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:59:18+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:15:00+00:00;;;
737;73H;BER;codeshares;DEP;S;False;D;GA9252;9252;B17;B;143576111136767361;True;KL1775;GA;GIA;85;PHBXE;J;1.0;;2025-11-05 09:23:21.563000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 09:05:11+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
737;73H;VCE;codeshares;DEP;S;False;D;GA9496;9496;C7;C;143576111136773141;True;KL1629;GA;GIA;85;PHBCG;J;1.0;;2025-11-05 09:06:18.865000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:50:46+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
32S;320;BCN;codeshares;ARR,EXP;S;False;A;IB5214;5214;C16;C;143576111417485994;True;VY8300;IB;IBE;92;ECMVE;J;1.0;2025-11-05 08:18:19+00:00;2025-11-05 10:11:29.949000+00:00;2025-11-05 08:17:21+00:00;2025-11-05 08:45:00+00:00;;;;;2025-11-05 09:04:54+00:00;;
777;772;SCL,EZE;codeshares;ARR,EXP;N;False;A;KL0702;702;A9;A;143576111731852124;True;KL0702;KL;KLM;100;PHBQI;J;3.0;2025-11-05 08:32:43+00:00;2025-11-05 10:52:24.084000+00:00;2025-11-05 08:32:14+00:00;2025-11-05 08:45:00+00:00;;;;;2025-11-05 10:15:16.565000+00:00;;
EMJ;E7W;ABZ;codeshares;DEP;N;False;D;KL0913;913;D6;D;143576111731857677;True;KL0913;KL;KLM;100;PHEXG;J;2.0;;2025-11-05 08:55:04.786000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:46:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:15:00+00:00;;;
EMJ;E90;NTE;codeshares;DEP;S;False;D;KL1419;1419;B28;B;143576111731945305;True;KL1419;KL;KLM;100;FHBLO;J;1.0;;2025-11-05 09:14:20.882000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 09:00:39+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:15:00+00:00;;;
737;73H;VCE;codeshares;DEP;S;False;D;KL1629;1629;C7;C;143576111731950855;True;KL1629;KL;KLM;100;PHBCG;J;1.0;;2025-11-05 09:06:18.865000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:50:46+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
EMJ;295;FLR;codeshares;DEP;S;False;D;KL1653;1653;B8;B;143576111731951065;True;KL1653;KL;KLM;100;PHNXX;J;1.0;;2025-11-05 09:19:01.736000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:59:18+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:15:00+00:00;;;
737;73H;BER;codeshares;DEP;S;False;D;KL1775;1775;B17;B;143576111731953955;True;KL1775;KL;KLM;100;PHBXE;J;1.0;;2025-11-05 09:23:21.563000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 09:05:11+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
EMJ;E7W;ABZ;codeshares;DEP;N;False;D;KQ1443;1443;D6;D;143576111750687125;True;KL0913;KQ;KQA;208;PHEXG;J;2.0;;2025-11-05 08:55:04.786000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:46:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:15:00+00:00;;;
EMJ;295;FLR;codeshares;DEP;S;False;D;KQ1643;1643;B8;B;143576111750692601;True;KL1653;KQ;KQA;208;PHNXX;J;1.0;;2025-11-05 09:19:01.736000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:59:18+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:15:00+00:00;;;
737;73H;VCE;codeshares;DEP;S;False;D;KQ1653;1653;C7;C;143576111750692675;True;KL1629;KQ;KQA;208;PHBCG;J;1.0;;2025-11-05 09:06:18.865000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:50:46+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
737;73H;BER;codeshares;DEP;S;False;D;KQ1823;1823;B17;B;143576111750697929;True;KL1775;KQ;KQA;208;PHBXE;J;1.0;;2025-11-05 09:23:21.563000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 09:05:11+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
737;73H;BER;codeshares;DEP;S;False;D;MF9331;9331;B17;B;143576111987639043;True;KL1775;MF;CXA;1551;PHBXE;J;1.0;;2025-11-05 09:23:21.563000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 09:05:11+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
737;73H;VCE;codeshares;DEP;S;False;D;MF9768;9768;C7;C;143576111987650231;True;KL1629;MF;CXA;1551;PHBCG;J;1.0;;2025-11-05 09:06:18.865000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:50:46+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
737;73H;BER;codeshares;DEP;S;False;D;MU1601;1601;B17;B;143576112043061417;True;KL1775;MU;CES;1294;PHBXE;J;1.0;;2025-11-05 09:23:21.563000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 09:05:11+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
EMJ;295;FLR;codeshares;DEP;S;False;D;MU1821;1821;B8;B;143576112043067041;True;KL1653;MU;CES;1294;PHNXX;J;1.0;;2025-11-05 09:19:01.736000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:59:18+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:15:00+00:00;;;
737;73H;VCE;codeshares;DEP;S;False;D;MU1825;1825;C7;C;143576112043067049;True;KL1629;MU;CES;1294;PHBCG;J;1.0;;2025-11-05 09:06:18.865000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:50:46+00:00;2025-11-05 08:15:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 07:45:00+00:00;;;
787;788;CUR;;ARR;N;False;A;OR368;368;G8;G;143576110216607786;True;OR368;OR;TFL;231;PHTFK;J;4.0;2025-11-05 08:51:15+00:00;2025-11-05 11:14:56.081000+00:00;2025-11-05 08:50:48+00:00;2025-11-05 08:45:00+00:00;;;;;2025-11-05 09:50:59.470000+00:00;;
32S;320;BCN;codeshares;ARR,EXP;S;False;A;QR4700;4700;C16;C;143576112586874760;True;VY8300;QR;QTR;356;ECMVE;J;1.0;2025-11-05 08:18:19+00:00;2025-11-05 10:11:29.949000+00:00;2025-11-05 08:17:21+00:00;2025-11-05 08:45:00+00:00;;;;;2025-11-05 09:04:54+00:00;;
32S;32N;CPH;;ARR,EXP;S;False;A;SK2551;2551;C6;C;143576112837804618;True;SK2551;SK;SAS;150;EISIH;J;1.0;2025-11-05 08:25:54+00:00;2025-11-05 10:11:30.724000+00:00;2025-11-05 08:25:54+00:00;2025-11-05 08:45:00+00:00;;;;;2025-11-05 09:06:06+00:00;;
EMJ;E7W;ABZ;codeshares;DEP;N;False;D;VS6908;6908;D6;D;143576113284270757;True;KL0913;VS;VIR;181;PHEXG;J;2.0;;2025-11-05 08:55:04.786000+00:00;;2025-11-05 08:45:00+00:00;2025-11-05 08:46:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:15:00+00:00;;;
32S;320;BCN;codeshares;ARR,EXP;S;False;A;VY8300;8300;C16;C;143576113306946856;True;VY8300;VY;VLG;263;ECMVE;J;1.0;2025-11-05 08:18:19+00:00;2025-11-05 10:11:29.949000+00:00;2025-11-05 08:17:21+00:00;2025-11-05 08:45:00+00:00;;;;;2025-11-05 09:04:54+00:00;;
32S;32Q;HEL;codeshares;DEP;S;False;D;6E3257;3257;D71;D;143576114757038587;True;KL1251;6E;IGO;5300;PHAXH;J;1.0;;2025-11-05 09:15:49.417000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:58:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;HEL;codeshares;DEP;S;False;D;AF3241;3241;D71;D;143576110322773575;True;KL1251;AF;AFR;80;PHAXH;J;1.0;;2025-11-05 09:15:49.417000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:58:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
330;332;YEG;codeshares;ARR,EXP;N;False;A;AF8274;8274;E2;E;143576110323280332;True;KL0676;AF;AFR;80;PHAOF;J;2.0;2025-11-05 08:16:03+00:00;2025-11-05 09:47:50.080000+00:00;2025-11-05 08:15:35+00:00;2025-11-05 08:50:00+00:00;;;;;2025-11-05 09:13:53.667000+00:00;;
787;789;SFO;codeshares;DEP;N;False;D;AF8402;8402;E19;E;143576110323285287;True;KL0605;AF;AFR;80;PHBHL;J;2.0;;2025-11-05 09:03:44.332000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:50:53+00:00;2025-11-05 08:05:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:20:00+00:00;;;
787;781;IAH;codeshares;DEP;N;False;D;AF8411;8411;D2;D;143576110323285359;True;KL0661;AF;AFR;80;PHBKM;J;2.0;;2025-11-05 09:08:04.149000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:54:50+00:00;2025-11-05 08:05:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:20:00+00:00;;;
32S;32Q;MAN;codeshares;DEP;N;False;D;BT6011;6011;D5;D;143576110514236217;True;KL1031;BT;BTI;419;PHAXE;J;2.0;;2025-11-05 09:12:07.254000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:55:23+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;MAN;codeshares;DEP;N;False;D;CI9597;9597;D5;D;143576110612010801;True;KL1031;CI;CAL;44;PHAXE;J;2.0;;2025-11-05 09:12:07.254000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:55:23+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
737;73W;GOT;codeshares;DEP;S;False;D;DL9182;9182;C18;C;143576110761932645;True;KL1231;DL;DAL;58;PHBGG;J;1.0;;2025-11-05 08:57:35.523000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:48:28+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;MAN;codeshares;DEP;N;False;D;DL9316;9316;D5;D;143576110761937611;True;KL1031;DL;DAL;58;PHAXE;J;2.0;;2025-11-05 09:12:07.254000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:55:23+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;HEL;codeshares;DEP;S;False;D;DL9331;9331;D71;D;143576110761937749;True;KL1251;DL;DAL;58;PHAXH;J;1.0;;2025-11-05 09:15:49.417000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:58:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
787;789;SFO;codeshares;DEP;N;False;D;DL9380;9380;E19;E;143576110761938117;True;KL0605;DL;DAL;58;PHBHL;J;2.0;;2025-11-05 09:03:44.332000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:50:53+00:00;2025-11-05 08:05:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:20:00+00:00;;;
787;781;IAH;codeshares;DEP;N;False;D;DL9386;9386;D2;D;143576110761938129;True;KL0661;DL;DAL;58;PHBKM;J;2.0;;2025-11-05 09:08:04.149000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:54:50+00:00;2025-11-05 08:05:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:20:00+00:00;;;
EMJ;E90;LCY;codeshares;ARR,EXP;N;False;A;DL9577;9577;A8;A;143576110761943532;True;KL0978;DL;DAL;58;PHEXV;J;2.0;2025-11-05 08:27:53+00:00;2025-11-05 09:54:10.090000+00:00;2025-11-05 08:27:34+00:00;2025-11-05 08:50:00+00:00;;;;;2025-11-05 09:28:37.547000+00:00;;
32S;32N;NAP;;ARR,EXP;S;False;A;EJU4231;4231;;M;143576137284554952;True;EJU4231;EC;EJU;5151;OELST;J;4.0;2025-11-05 08:10:51+00:00;2025-11-05 09:42:39.152000+00:00;2025-11-05 08:10:51+00:00;2025-11-05 08:50:00+00:00;;;;;2025-11-05 08:54:30.059000+00:00;;
32S;320;MAN;;DEP;N;False;D;EZY2162;2162;H5;H;143576139518349739;True;EZY2162;U2;EZY;64;GEZPB;J;3.0;;2025-11-05 09:14:42.373000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:54:02+00:00;2025-11-05 08:26:00+00:00;2025-11-05 08:36:00+00:00;;;;2025-11-05 08:56:00+00:00
32S;32Q;MAN;codeshares;DEP;N;False;D;GA9746;9746;D5;D;143576111136780985;True;KL1031;GA;GIA;85;PHAXE;J;2.0;;2025-11-05 09:12:07.254000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:55:23+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;HEL;codeshares;DEP;S;False;D;GA9768;9768;D71;D;143576111136781137;True;KL1251;GA;GIA;85;PHAXH;J;1.0;;2025-11-05 09:15:49.417000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:58:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
787;789;SFO;codeshares;DEP;N;False;D;KL0605;605;E19;E;143576111731849393;True;KL0605;KL;KLM;100;PHBHL;J;2.0;;2025-11-05 09:03:44.332000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:50:53+00:00;2025-11-05 08:05:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:20:00+00:00;;;
787;781;IAH;codeshares;DEP;N;False;D;KL0661;661;D2;D;143576111731849829;True;KL0661;KL;KLM;100;PHBKM;J;2.0;;2025-11-05 09:08:04.149000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:54:50+00:00;2025-11-05 08:05:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:20:00+00:00;;;
330;332;YEG;codeshares;ARR,EXP;N;False;A;KL0676;676;E2;E;143576111731849912;True;KL0676;KL;KLM;100;PHAOF;J;2.0;2025-11-05 08:16:03+00:00;2025-11-05 09:47:50.080000+00:00;2025-11-05 08:15:35+00:00;2025-11-05 08:50:00+00:00;;;;;2025-11-05 09:13:53.667000+00:00;;
EMJ;E90;LCY;codeshares;ARR,EXP;N;False;A;KL0978;978;A8;A;143576111731858130;True;KL0978;KL;KLM;100;PHEXV;J;2.0;2025-11-05 08:27:53+00:00;2025-11-05 09:54:10.090000+00:00;2025-11-05 08:27:34+00:00;2025-11-05 08:50:00+00:00;;;;;2025-11-05 09:28:37.547000+00:00;;
32S;32Q;MAN;codeshares;DEP;N;False;D;KL1031;1031;D5;D;143576111731934485;True;KL1031;KL;KLM;100;PHAXE;J;2.0;;2025-11-05 09:12:07.254000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:55:23+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
737;73W;GOT;codeshares;DEP;S;False;D;KL1231;1231;C18;C;143576111731939961;True;KL1231;KL;KLM;100;PHBGG;J;1.0;;2025-11-05 08:57:35.523000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:48:28+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;HEL;codeshares;DEP;S;False;D;KL1251;1251;D71;D;143576111731940109;True;KL1251;KL;KLM;100;PHAXH;J;1.0;;2025-11-05 09:15:49.417000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:58:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
EMJ;E90;LCY;codeshares;ARR,EXP;N;False;A;KQ0984;984;A8;A;143576111750599806;True;KL0978;KQ;KQA;208;PHEXV;J;2.0;2025-11-05 08:27:53+00:00;2025-11-05 09:54:10.090000+00:00;2025-11-05 08:27:34+00:00;2025-11-05 08:50:00+00:00;;;;;2025-11-05 09:28:37.547000+00:00;;
32S;32Q;MAN;codeshares;DEP;N;False;D;KQ1073;1073;D5;D;143576111750676395;True;KL1031;KQ;KQA;208;PHAXE;J;2.0;;2025-11-05 09:12:07.254000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:55:23+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
737;73W;GOT;codeshares;DEP;S;False;D;KQ1155;1155;C18;C;143576111750678989;True;KL1231;KQ;KQA;208;PHBGG;J;1.0;;2025-11-05 08:57:35.523000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:48:28+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;HEL;codeshares;DEP;S;False;D;KQ1169;1169;D71;D;143576111750679071;True;KL1251;KQ;KQA;208;PHAXH;J;1.0;;2025-11-05 09:15:49.417000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:58:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32N;ZRH;;DEP;S;False;D;LX725;725;B31;B;143576110205981307;True;LX725;LX;SWR;50;HBJDH;J;1.0;;2025-11-05 09:40:36.844000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 09:28:08+00:00;;;;;;
32S;32Q;HEL;codeshares;DEP;S;False;D;MF9628;9628;D71;D;143576111987647197;True;KL1251;MF;CXA;1551;PHAXH;J;1.0;;2025-11-05 09:15:49.417000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:58:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;MAN;codeshares;DEP;N;False;D;MF9662;9662;D5;D;143576111987647481;True;KL1031;MF;CXA;1551;PHAXE;J;2.0;;2025-11-05 09:12:07.254000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:55:23+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
737;73W;GOT;codeshares;DEP;S;False;D;MH5647;5647;C18;C;143576111994738763;True;KL1231;MH;MAS;5065;PHBGG;J;1.0;;2025-11-05 08:57:35.523000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:48:28+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;HEL;codeshares;DEP;S;False;D;MH5649;5649;D71;D;143576111994738767;True;KL1251;MH;MAS;5065;PHAXH;J;1.0;;2025-11-05 09:15:49.417000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:58:02+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
32S;32Q;MAN;codeshares;DEP;N;False;D;MU1623;1623;D5;D;143576112043061569;True;KL1031;MU;CES;1294;PHAXE;J;2.0;;2025-11-05 09:12:07.254000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:55:23+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
EMJ;E90;LCY;codeshares;ARR,EXP;N;False;A;VS7031;7031;A8;A;143576113284347628;True;KL0978;VS;VIR;181;PHEXV;J;2.0;2025-11-05 08:27:53+00:00;2025-11-05 09:54:10.090000+00:00;2025-11-05 08:27:34+00:00;2025-11-05 08:50:00+00:00;;;;;2025-11-05 09:28:37.547000+00:00;;
32S;32Q;MAN;codeshares;DEP;N;False;D;VS7078;7078;D5;D;143576113284347939;True;KL1031;VS;VIR;181;PHAXE;J;2.0;;2025-11-05 09:12:07.254000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:55:23+00:00;2025-11-05 08:20:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:50:00+00:00;;;
787;781;IAH;codeshares;DEP;N;False;D;VS7123;7123;D2;D;143576113284350297;True;KL0661;VS;VIR;181;PHBKM;J;2.0;;2025-11-05 09:08:04.149000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:54:50+00:00;2025-11-05 08:05:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:20:00+00:00;;;
787;789;SFO;codeshares;DEP;N;False;D;VS7146;7146;E19;E;143576113284350451;True;KL0605;VS;VIR;181;PHBHL;J;2.0;;2025-11-05 09:03:44.332000+00:00;;2025-11-05 08:50:00+00:00;2025-11-05 08:50:53+00:00;2025-11-05 08:05:00+00:00;2025-11-05 08:35:00+00:00;2025-11-05 07:20:00+00:00;;;
330;332;YEG;codeshares;ARR,EXP;N;False;A;VS7168;7168;E2;E;143576113284350602;True;KL0676;VS;VIR;181;PHAOF;J;2.0;2025-11-05 08:16:03+00:00;2025-11-05 09:47:50.080000+00:00;2025-11-05 08:15:35+00:00;2025-11-05 08:50:00+00:00;;;;;2025-11-05 09:13:53.667000+00:00;;
EMJ;E90;TLS;codeshares;DEP;S;False;D;AF3125;3125;B24;B;143576110322770697;True;KL1451;AF;AFR;80;FHBLL;J;1.0;;2025-11-05 09:21:15.795000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 09:07:04+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:40:00+00:00;2025-11-05 08:25:00+00:00;;;
787;781;ATL;codeshares;DEP;N;False;D;AF6694;6694;F5;F;143576110323088821;True;KL0623;AF;AFR;80;PHBKD;J;2.0;;2025-11-05 09:22:10.802000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 08:59:15+00:00;2025-11-05 08:10:00+00:00;2025-11-05 08:40:00+00:00;2025-11-05 07:25:00+00:00;;;
350;359;HEL;codeshares;ARR,EXP;S;False;A;AY1301;1301;A4;A;143576110393791522;True;AY1301;AY;FIN;78;OHLWI;J;1.0;2025-11-05 08:36:52+00:00;2025-11-05 10:22:54.108000+00:00;2025-11-05 08:36:21+00:00;2025-11-05 08:55:00+00:00;;;;;2025-11-05 09:17:48+00:00;;
350;359;HEL;codeshares;ARR,EXP;S;False;A;CX1430;1430;A4;A;143576110667421986;True;AY1301;CX;CPA;4826;OHLWI;J;1.0;2025-11-05 08:36:52+00:00;2025-11-05 10:22:54.108000+00:00;2025-11-05 08:36:21+00:00;2025-11-05 08:55:00+00:00;;;;;2025-11-05 09:17:48+00:00;;
737;73H;CPH;codeshares;DEP;S;False;D;DL9211;9211;C14;C;143576110761934863;True;KL1269;DL;DAL;58;PHBXB;J;1.0;;2025-11-05 09:18:16.116000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 09:05:28+00:00;2025-11-05 08:25:00+00:00;2025-11-05 08:40:00+00:00;2025-11-05 07:55:00+00:00;;;
787;781;ATL;codeshares;DEP;N;False;D;DL9227;9227;F5;F;143576110761934949;True;KL0623;DL;DAL;58;PHBKD;J;2.0;;2025-11-05 09:22:10.802000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 08:59:15+00:00;2025-11-05 08:10:00+00:00;2025-11-05 08:40:00+00:00;2025-11-05 07:25:00+00:00;;;
EMJ;E90;FRA;codeshares;DEP;S;False;D;DL9235;9235;B32;B;143576110761935019;True;KL1817;DL;DAL;58;PHEZL;J;1.0;;2025-11-05 09:25:39.884000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 09:13:03+00:00;2025-11-05 08:32:00+00:00;2025-11-05 08:42:00+00:00;2025-11-05 08:27:00+00:00;;;2025-11-05 08:57:00+00:00
EMJ;E90;TLS;codeshares;DEP;S;False;D;DL9394;9394;B24;B;143576110761938199;True;KL1451;DL;DAL;58;FHBLL;J;1.0;;2025-11-05 09:21:15.795000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 09:07:04+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:40:00+00:00;2025-11-05 08:25:00+00:00;;;
EMJ;E90;FRA;codeshares;DEP;S;False;D;GA9082;9082;B32;B;143576111136762107;True;KL1817;GA;GIA;85;PHEZL;J;1.0;;2025-11-05 09:25:39.884000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 09:13:03+00:00;2025-11-05 08:32:00+00:00;2025-11-05 08:42:00+00:00;2025-11-05 08:27:00+00:00;;;2025-11-05 08:57:00+00:00
737;73H;CPH;codeshares;DEP;S;False;D;GA9470;9470;C14;C;143576111136772981;True;KL1269;GA;GIA;85;PHBXB;J;1.0;;2025-11-05 09:18:16.116000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 09:05:28+00:00;2025-11-05 08:25:00+00:00;2025-11-05 08:40:00+00:00;2025-11-05 07:55:00+00:00;;;
787;781;ATL;codeshares;DEP;N;False;D;KL0623;623;F5;F;143576111731849537;True;KL0623;KL;KLM;100;PHBKD;J;2.0;;2025-11-05 09:22:10.802000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 08:59:15+00:00;2025-11-05 08:10:00+00:00;2025-11-05 08:40:00+00:00;2025-11-05 07:25:00+00:00;;;
737;73H;CPH;codeshares;DEP;S;False;D;KL1269;1269;C14;C;143576111731940199;True;KL1269;KL;KLM;100;PHBXB;J;1.0;;2025-11-05 09:18:16.116000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 09:05:28+00:00;2025-11-05 08:25:00+00:00;2025-11-05 08:40:00+00:00;2025-11-05 07:55:00+00:00;;;
EMJ;E90;TLS;codeshares;DEP;S;False;D;KL1451;1451;B24;B;143576111731945585;True;KL1451;KL;KLM;100;FHBLL;J;1.0;;2025-11-05 09:21:15.795000+00:00;;2025-11-05 08:55:00+00:00;2025-11-05 09:07:04+00:00;2025-11-05 08:30:00+00:00;2025-11-05 08:40:00+00:00;2025-11-05 08:25:00+00:00;;;
